-4,9,107,0,14,117,0,4,122,-14,29,93,-208,628,
-19,-9,83,-4,14,112,0,4,122,-14,29,93,72,628,
-9,4,88,0,24,107,4,4,117,14,14,112,100,628,
-9,4,88,-4,19,127,-4,14,132,-9,14,147,-659,627,
-24,4,98,14,24,117,0,9,102,-9,39,107,295,627,
-4,0,102,14,24,117,4,4,127,-9,39,102,200,628,
-14,4,93,0,19,98,4,4,127,-9,39,102,58,628,
-9,0,93,4,39,112,0,-9,122,-29,29,102,410,0,
-9,0,93,-9,34,127,-4,14,122,9,34,102,254,0,
-9,4,107,19,14,102,-24,9,112,4,29,127,331,0,
-44,29,117,19,14,102,-14,4,122,-14,34,98,506,1,
-14,-9,117,19,24,98,0,9,112,-14,34,98,136,1,
-9,-4,93,0,-4,127,0,9,112,-24,39,102,-280,1,
-9,-4,93,-4,14,132,0,9,122,0,29,98,64,1,
-4,-9,88,4,24,98,4,0,137,4,14,102,-32,1,
-4,14,88,4,24,98,0,4,127,4,14,102,-116,1,
-4,-4,98,9,29,88,0,9,107,-9,39,88,233,1,
-4,-4,98,29,-4,122,0,9,107,0,24,117,-126,1,
-9,4,98,14,24,127,-9,19,137,-4,24,93,36,1,
-14,-19,88,0,14,112,-49,53,147,-24,29,102,534,1,
-24,14,98,0,14,112,0,4,107,-24,29,102,-581,1,
0,0,107,9,24,102,0,9,122,-9,29,127,164,1,
0,0,107,4,4,107,0,9,122,-14,14,117,-195,1,
-4,9,93,0,34,102,-9,24,137,-19,39,107,172,1,
-24,9,112,0,19,88,0,4,112,-9,29,107,-95,1,
-19,-9,98,0,19,88,-9,14,107,-9,29,107,156,1,
-19,-9,98,9,14,102,0,4,127,-9,29,102,200,1,
-19,-9,102,49,-4,112,-9,4,122,-9,34,102,359,1,
-9,-9,102,4,24,132,-9,4,122,-14,34,107,282,2,
-9,0,88,-4,24,102,0,0,107,-14,34,107,136,2,
0,0,102,-4,24,102,0,14,107,-9,39,98,136,2,
0,0,102,9,24,107,4,19,117,-4,39,107,36,2,
-14,-4,117,14,0,102,0,9,117,-14,19,83,-286,2,
9,-9,98,0,24,127,0,9,117,-14,34,117,172,2,
-4,-9,83,4,19,93,4,4,107,-14,34,117,48,2,
-14,9,102,4,19,93,4,14,112,-39,39,117,-17,2,
-14,9,102,4,29,112,-4,19,122,-9,14,88,-90,2,
0,4,88,34,9,112,-4,14,117,0,9,112,-180,2,
0,4,102,-14,19,102,-4,14,117,-4,14,122,-286,1,
-9,0,88,19,14,112,-9,24,107,-4,14,122,92,2,
-9,0,88,19,14,112,0,14,107,-14,39,117,149,2,
-14,0,98,4,29,107,4,19,117,-14,34,107,-280,1,
-9,-9,107,4,-9,98,-4,9,112,-4,19,112,-335,1,
-9,0,98,0,24,98,9,4,127,-4,19,112,59,1,
4,-4,83,9,14,98,9,4,127,4,24,127,-308,1,
4,-4,83,9,14,98,4,14,122,-14,34,117,154,1,
-14,14,98,-4,24,73,-9,39,122,-19,29,98,-180,1,
-24,-9,98,49,-24,102,-9,19,112,-4,29,122,403,1,
-9,4,98,19,0,112,-4,19,122,-4,29,122,-53,1,
-9,4,98,0,29,112,-4,19,122,-9,29,107,-208,1,
9,39,93,0,29,112,4,24,102,-9,39,112,22,1,
-19,9,107,-9,39,132,19,9,122,-14,39,117,362,1,
-24,14,98,9,-14,112,-9,19,112,9,9,98,387,2,
-9,9,102,9,14,122,-9,9,122,9,9,98,-154,2,
-9,9,102,24,24,122,-9,9,122,-4,4,107,58,2,
-4,-4,112,24,24,122,24,9,127,-9,29,93,-85,2,
-14,4,98,14,19,88,0,19,107,-14,44,107,-46,1,
-14,0,112,4,0,102,-9,9,107,9,24,107,-46,1,
-9,14,98,0,19,112,0,19,122,9,24,107,-308,1,
-9,14,98,4,24,112,0,19,122,4,29,107,-67,1,
-24,9,93,4,24,112,4,9,102,-19,44,117,-96,1,
-9,4,83,9,24,122,-14,9,107,-19,29,88,254,1,
-4,-9,98,9,24,98,-4,14,112,-19,29,88,284,1,
-4,-9,98,-4,24,107,0,9,107,-4,34,88,-18,1,
4,9,102,-9,29,107,0,9,112,-14,34,122,254,2,
-4,24,98,-9,29,107,0,9,112,-4,39,98,-175,2,
-14,0,83,9,14,73,0,4,102,-9,29,88,59,2,
