-14,-9,122,4,9,127,-9,9,107,-4,14,122,231400,0,
-14,-4,107,4,9,127,0,14,122,4,14,93,231500,0,
-9,0,112,9,14,107,0,14,122,-4,14,107,231600,0,
-4,9,98,4,14,127,29,14,98,0,29,102,231700,0,
-4,9,98,0,19,98,4,4,102,0,29,102,231800,0,
-19,0,107,0,19,112,9,14,107,-4,24,107,231900,0,
-14,19,132,0,19,112,4,9,112,-14,19,122,232000,0,
-14,4,137,14,19,102,0,4,117,-4,24,93,232100,0,
0,-4,107,19,19,102,0,4,117,-4,14,102,232200,0,
0,-4,107,4,24,107,-9,14,112,-4,14,102,232300,0,
0,-9,112,19,14,107,-19,14,112,14,19,112,232400,0,
-14,0,107,19,14,107,-4,19,117,-19,39,117,232500,0,
0,-4,107,9,29,117,0,9,112,4,14,73,232600,0,
0,-4,107,14,29,112,0,9,112,-9,24,112,232700,0,
-4,-14,49,4,14,98,-19,24,132,-9,24,112,232800,0,
-14,0,93,24,0,107,-29,44,147,-9,29,98,232900,0,
-14,-9,88,9,19,107,-4,14,112,9,14,112,45800,0,
-19,-14,102,14,14,107,-4,9,122,-4,24,83,45900,1,
-19,-4,107,9,4,117,-19,19,132,4,29,122,46000,0,
-19,-4,107,9,4,102,-4,4,107,4,29,122,46100,0,
4,-4,88,9,4,102,9,4,117,0,34,112,46200,0,
24,-24,93,-4,14,107,9,4,117,-4,34,107,46300,0,
-14,0,88,-4,24,112,-4,4,117,-4,29,132,46400,0,
-4,-9,102,4,24,127,-34,9,117,-4,29,132,46500,0,
-4,-9,102,-4,14,102,-14,14,112,0,0,127,46600,0,
-9,14,117,-4,14,102,4,4,112,-9,29,88,46700,0,
-4,9,107,9,14,122,4,4,112,-4,29,102,46800,0,
-19,9,112,9,4,122,24,9,122,-4,19,122,46900,0,
-19,9,112,9,19,112,4,4,98,-4,19,122,47000,0,
-14,9,107,9,19,117,0,9,112,0,34,112,47100,0,
-9,0,63,9,19,117,-4,9,117,0,24,78,47200,0,
-14,4,107,9,24,112,4,14,122,-14,29,112,47300,0,
-19,0,102,14,29,122,4,14,122,-9,14,83,47400,0,
-19,0,102,0,29,127,0,19,112,-9,14,83,47500,0,
-19,0,107,4,14,107,0,4,117,0,19,117,47600,0,
-29,24,107,4,14,107,24,4,112,-19,24,112,47700,0,
-34,4,117,4,24,112,4,14,117,0,0,122,47800,0,
-34,4,117,4,14,93,4,14,117,0,0,122,47900,0,
-24,4,117,34,14,112,14,4,122,9,19,98,48000,0,
-4,-4,107,-4,24,112,14,-14,112,0,19,107,48100,0,
-9,4,102,-4,24,112,4,4,102,14,24,102,48200,0,
-14,0,93,19,14,107,-4,4,107,-4,19,98,48300,0,
-14,0,93,29,24,93,-4,4,107,-4,19,98,48400,0,
-14,9,102,-4,19,122,34,-9,127,-9,14,88,48500,0,
-4,4,122,19,24,107,14,4,117,0,34,98,48600,0,
-14,9,88,19,24,107,14,14,107,-9,14,88,48700,0,
-14,0,93,9,24,107,9,14,102,-19,19,102,48800,0,
-14,0,93,-4,14,112,14,4,112,-19,19,102,48900,0,
-19,4,102,0,29,122,4,9,117,-4,24,102,231100,0,
-19,-9,102,4,14,117,-19,24,93,-4,34,102,231200,0,
-9,9,93,-4,24,117,4,4,107,9,9,93,231300,0,
-9,9,93,-4,24,117,0,4,117,9,9,93,231400,0,
0,0,102,4,24,117,-9,19,112,-4,14,93,231500,0,
0,-9,102,0,14,122,-9,19,112,-9,34,112,231600,0,
0,9,93,24,19,107,0,9,122,19,0,112,231700,0,
0,9,93,4,-4,122,4,4,127,19,0,112,231800,0,
-14,39,102,9,24,107,-4,19,107,0,14,98,231900,0,
-4,0,112,9,24,107,4,9,107,-4,19,117,232000,0,
-9,9,93,-4,29,122,4,9,107,-4,9,93,232100,0,
-19,9,107,4,9,98,0,4,127,0,29,102,232200,0,
-19,9,107,0,24,127,0,4,117,0,29,102,232300,0,
-24,14,107,0,24,122,0,9,127,4,19,83,232400,0,
-34,9,122,0,24,122,4,14,112,4,53,98,232500,0,
-24,14,137,14,9,122,4,14,112,-9,39,107,232600,0,
-19,0,98,9,4,98,-9,14,98,-14,24,102,231100,0,
4,0,98,9,9,107,9,9,117,-19,29,98,231200,0,
4,0,98,-9,14,112,-9,14,147,4,39,102,231300,0,
-4,19,112,9,19,117,0,19,112,4,39,102,231400,0,
-14,4,93,9,19,117,-14,19,122,19,24,98,231500,0,
-14,9,112,-4,9,132,-14,19,122,4,29,161,231600,0,
-14,0,102,14,24,117,0,9,102,9,24,107,231700,0,
-14,0,102,0,24,107,-14,9,117,0,24,112,231800,0,
-9,0,112,4,19,107,-4,9,122,0,24,112,231900,0,
-24,9,127,4,19,107,-4,4,112,-4,19,102,232000,0,
9,-19,112,14,14,132,-4,4,112,4,34,107,232100,0,
9,-19,112,0,19,117,14,4,127,0,9,107,232200,0,
-9,0,102,0,24,102,34,19,93,-4,14,102,232300,0,
-4,-4,102,19,19,117,14,9,117,-4,14,102,232400,0,
-19,0,107,4,24,107,9,4,122,-4,19,98,232500,0,
-4,-14,98,4,24,107,9,4,122,-9,24,107,232600,0,
0,-4,112,14,14,117,-4,14,112,9,29,107,190300,0,
-9,-4,93,0,24,107,-9,4,107,-4,24,112,190400,1,
-19,0,102,9,9,122,14,14,107,0,19,127,190500,0,
-19,0,102,9,9,122,0,9,112,0,19,127,190600,0,
4,-4,98,4,0,102,0,9,112,-4,24,127,190700,0,
-19,9,98,0,24,102,0,9,127,29,9,117,190800,0,
-19,19,117,0,24,102,0,9,107,-24,34,122,190900,0,
-19,19,117,9,9,112,-4,0,117,-9,34,78,191000,0,
-9,-4,151,9,9,112,-9,9,112,-9,34,78,191100,0,
-19,4,102,4,19,137,4,9,122,-9,24,122,191200,0,
-19,-4,98,-4,19,117,4,9,122,-9,9,98,191300,0,
4,0,102,9,14,112,-14,0,107,0,29,102,191400,0,
4,0,102,9,0,117,4,9,117,0,29,102,191500,0,
-14,9,107,9,0,117,0,14,117,-4,9,107,191600,0,
-9,0,112,0,14,107,4,9,98,0,9,93,191700,0,
-19,9,117,4,4,102,4,9,98,0,24,117,191800,0,
-14,4,122,14,0,117,0,19,127,-4,34,112,191900,0,
-14,4,122,14,24,117,9,14,93,-4,34,112,192000,0,
-4,-4,93,14,24,117,9,4,122,0,24,83,192100,0,
-14,0,93,9,9,112,4,4,102,-14,53,88,192200,0,
-9,4,107,24,14,117,4,4,102,0,24,122,192300,0,
-9,4,107,9,24,107,-4,14,63,-19,14,98,192400,0,
-44,0,102,14,14,93,-9,9,122,-19,14,98,192500,0,
-19,0,93,24,14,102,0,0,93,4,29,112,192600,0,
-9,0,112,24,14,102,4,9,107,19,4,117,192700,0,
0,-4,98,9,14,102,-4,14,102,0,14,117,192800,0,
0,-4,98,0,14,107,-4,14,102,-19,34,93,192900,0,
4,-4,102,4,29,112,0,14,93,-19,34,93,193000,0,
-9,9,102,-4,19,107,14,14,88,-14,19,107,193100,0,
4,0,107,-4,19,107,9,4,98,-14,34,102,193200,0,
4,0,107,19,14,117,0,4,112,-9,24,107,193300,0,
4,39,102,4,0,132,0,4,112,-9,24,107,193400,0,
-14,19,98,14,19,102,-9,9,98,14,24,102,193500,0,
-4,14,93,9,4,107,-4,4,68,0,24,171,193600,0,
-19,9,102,9,4,107,-4,24,98,4,39,127,193700,0,
-19,9,102,0,14,107,-4,9,127,0,24,107,193800,0,
-34,4,117,14,24,112,-4,9,127,0,24,107,193900,0,
-29,9,122,19,29,122,0,0,156,-4,24,107,194000,0,
-19,19,117,0,19,107,-4,14,122,9,34,98,194100,0,
-14,14,102,0,19,107,4,4,122,-14,24,112,194200,0,
-14,14,102,-4,24,98,9,9,122,-9,24,102,194300,0,
-14,-9,102,4,24,107,-4,14,127,-9,24,102,194400,0,
-9,-9,107,0,4,98,-4,14,127,-14,19,112,194500,0,
-4,-4,107,0,19,112,14,9,117,4,9,102,194600,0,
-4,-4,107,0,19,112,9,9,127,0,19,107,194700,0,
-14,4,112,4,24,112,4,4,127,0,19,107,194800,0,
-24,14,137,4,24,112,0,0,127,0,14,83,194900,0,
0,4,88,4,0,117,0,0,127,-4,34,107,195000,0,
-9,-19,107,0,14,122,0,0,127,0,24,107,195100,0,
-9,-19,107,0,14,122,-9,14,127,-4,29,117,195200,0,
-19,9,102,-9,24,112,0,9,112,-4,29,117,195300,0,
-19,-4,112,19,14,112,4,4,117,0,24,122,195400,0,
-14,-4,122,14,19,117,4,4,117,-9,-14,102,195500,0,
-14,-4,122,19,19,117,4,4,127,-4,29,107,195600,0,
-34,0,102,19,19,117,4,4,117,4,24,107,195700,0,
-14,-4,112,4,14,132,0,4,127,4,24,107,195800,0,
-4,-4,98,19,19,93,-4,4,137,0,24,98,195900,0,
-4,-4,98,14,9,107,4,14,127,-9,14,127,196000,0,
-4,-4,98,4,19,102,4,14,127,-9,29,98,196100,0,
-19,0,98,4,19,102,9,14,122,-9,29,98,196200,0,
-4,14,107,4,9,107,-19,14,127,0,29,107,196300,0,
-9,4,107,0,14,112,0,0,132,0,0,117,196400,0,
-9,4,107,9,34,102,-4,9,117,-9,14,98,196500,0,
-9,-4,93,4,19,117,-4,9,117,-9,24,98,196600,0,
-24,4,83,4,19,117,-19,9,107,-9,24,98,196700,0,
0,-9,98,19,14,112,-4,9,73,-9,19,107,196800,0,
-19,4,98,-14,39,147,19,9,112,-9,9,107,196900,0,
-19,4,98,0,29,88,4,19,98,0,14,107,197000,0,
-14,9,117,4,24,117,4,19,98,4,34,93,197100,0,
-44,39,137,4,24,117,9,9,88,4,34,93,197200,0,
-4,-9,102,4,19,122,4,4,117,-19,34,98,197300,0,
-14,0,117,-14,14,107,19,4,102,-4,24,78,197400,0,
-14,0,117,14,4,102,0,14,122,-9,29,93,197500,0,
-4,-14,98,4,29,102,9,4,122,4,24,107,197600,0,
-4,4,112,4,29,102,9,4,122,4,24,107,197700,0,
